Messages	IsRead	5	bit				NO	((0))
Messages	CreatedAt	6	datetime2				NO	(sysutcdatetime())
Permissions	Id	1	bigint		19	0	NO	
Permissions	Name	2	nvarchar	150			NO	
Permissions	Code	3	nvarchar	150			NO	
Permissions	Description	4	nvarchar	500			YES	
Permissions	IsActive	5	bit				NO	((1))
Permissions	CreateDate	6	datetime2				NO	(sysutcdatetime())
Permissions	UpdateDate	7	datetime2				YES	
ProductAttributeOptions	Id	1	bigint		19	0	NO	
ProductAttributeOptions	ProductAttributeId	2	bigint		19	0	NO	
ProductAttributeOptions	Value	3	nvarchar	200			NO	
ProductAttributeOptions	DisplayName	4	nvarchar	200			NO	
ProductAttributeOptions	DisplayOrder	5	int		10	0	NO	((0))
ProductAttributeOptions	IsActive	6	bit				NO	((1))
ProductAttributeOptions	CreateDate	7	datetime2				NO	(sysutcdatetime())
ProductAttributeOptions	UpdateDate	8	datetime2				YES	
ProductAttributeOptions	IsDeleted	9	bit				NO	((0))
ProductAttributes	Id	1	bigint		19	0	NO	
ProductAttributes	ProductCategoryId	2	bigint		19	0	NO	
ProductAttributes	Name	3	nvarchar	200			NO	
ProductAttributes	Code	4	nvarchar	100			NO	
ProductAttributes	DataType	5	nvarchar	30			NO	
ProductAttributes	IsRequired	6	bit				NO	((0))
ProductAttributes	DisplayOrder	7	int		10	0	NO	((0))
ProductAttributes	IsActive	8	bit				NO	((1))
ProductAttributes	CreateDate	9	datetime2				NO	(sysutcdatetime())
ProductAttributes	UpdateDate	10	datetime2				YES	
ProductAttributes	IsDeleted	11	bit				NO	((0))
ProductAttributeValues	Id	1	bigint		19	0	NO	
ProductAttributeValues	ProductId	2	bigint		19	0	NO	
ProductAttributeValues	ProductAttributeId	3	bigint		19	0	NO	
ProductAttributeValues	Value	4	nvarchar	2000			NO	
ProductAttributeValues	CreateDate	5	datetime2				NO	(sysutcdatetime())
ProductAttributeValues	UpdateDate	6	datetime2				YES	
ProductAttributeValues	IsDeleted	7	bit				NO	((0))
ProductCategories	Id	1	bigint		19	0	NO	
ProductCategories	ParentId	2	bigint		19	0	YES	
ProductCategories	Name	3	nvarchar	200			NO	
ProductCategories	Slug	4	nvarchar	200			NO	
ProductCategories	Description	5	nvarchar	2000			YES	
ProductCategories	DisplayOrder	6	int		10	0	NO	((0))
ProductCategories	IsActive	7	bit				NO	((1))
ProductCategories	CreateDate	8	datetime2				NO	(sysutcdatetime())
ProductCategories	UpdateDate	9	datetime2				YES	
